,['DecisionTree_Regressor'],['RotationForest_Regressor'],['RandomSubspace_Regressor'],['LinearRegression_Regressor'],Best_Model
boltztrap_mp/pf_n,0.2564317362333061,0.221330389370272,0.21184112037596056,0.24577598261879754,['RandomSubspace_Regressor']
boltztrap_mp/pf_p,0.2356058807945973,0.19351504979216907,0.2034221415307662,0.20528405469514774,['RotationForest_Regressor']
boltztrap_mp/s_n,0.05901396816235585,0.052880020688250234,0.049374477868285215,0.057760379232592834,['RandomSubspace_Regressor']
boltztrap_mp/s_p,0.044942154434012116,0.04005438942419196,0.041943311504679004,0.04154596896141468,['RotationForest_Regressor']
boltztrap_mp/m_n,1.3559715292334136,1.1861048119030784,1.143309318663732,1.3174626283819901,['RandomSubspace_Regressor']
boltztrap_mp/m_p,1.280005026406205,1.1518951398454451,1.1724317911229376,1.1578131311640578,['RotationForest_Regressor']
